"year","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,349,349,0.109858151615453,0.0177420349468639,0.56067543910645,0.00214550899166463
1993,325,325,0.0483719978727445,0.0121998736276865,0.185940761953213,0.00132679535422125
1994,355,355,0.0616157115779422,0.0131744216088069,0.117058792433353,0.000963770584116674
1995,350,350,0.0793607146950471,0.0150580509737717,0.202178748285087,0.00128469403420072
1996,350,350,0.0750677528939828,0.0146451116070451,0,0
1997,345,345,0.0639782320188743,0.0136177880281397,0.163423676322495,0.00117175925635874
1998,264,264,0.0345428655231017,0.0114387144202269,0.0439500047178669,0.000794100621911117
1999,346,346,0.0812237189578621,0.0153215740975329,0.108740415136105,0.000953058139027349
2000,349,349,0.135175093798373,0.0196804772723806,0.327848781326978,0.00164063268677093
2001,351,351,0.186517357574278,0.0230518650680937,0.562425410894833,0.00213661046233996
2002,304,304,0.351079069133229,0.033983310006397,0.646169703696195,0.00264423294757888
2003,352,352,0.372365380698006,0.0325247013078489,1.09334622742053,0.00297054538390056
2004,352,352,0.496085218717625,0.0375410842640503,0.738676118755167,0.00244165537469471
2005,349,349,0.407074682524783,0.0341526441405378,0.463924324569433,0.0019516329647373
2006,346,32,0.496295014451817,0.0378731917652186,72.0460802148716,0.0245317810480586
2007,349,32,0.937913593757055,0.051840442713547,128.770355686394,0.0325149073386048
2008,348,32,1.17449588036769,0.0580946483075345,50.7448560321044,0.020469949366293
2009,351,32,0.949956640422422,0.0520233522083367,123.971256740992,0.0317214758986652
2010,350,32,0.444519732872177,0.0356378503789832,36.9343693262345,0.0173639009362632
2011,350,32,1.24424494464365,0.0596236996178928,100.511943528311,0.0286444699978128
2012,392,54,1.05554679388719,0.0518914387252612,37.7252046471839,0.0156685834568294
2013,392,36,0.712400156450996,0.0426303569992698,27.390144958448,0.0133509170719513
2014,393,36,0.716346739419432,0.0426938548300924,69.1265779581808,0.0211558256224418
2015,395,36,0.520793321339073,0.0363106610330338,52.3252366205295,0.0183129582308207
2016,359,72,1.43219344740978,0.0631616718385627,90.2013580929651,0.0264552633832406
2017,359,71,2.10909130265635,0.076647936277065,307.378547751096,0.048836252285916
2018,392,36,1.0950349296475,0.0528531593491098,443.057378641766,0.053696245424707
