"year","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,349,349,0.109858151615453,0.0177420349468639,1.08289793014637,0.00298173013692657
1993,325,324,0.0483719978727445,0.0121998736276865,0.564176992427984,0.00231112973205128
1994,355,353,0.0616157115779422,0.0131744216088069,0.914884050214918,0.00269435412293433
1995,350,350,0.0793607146950471,0.0150580509737717,1.54662937780755,0.00355324442464716
1996,350,NA,0.0750677528939828,0.0146451116070451,NA,NA
1997,345,342,0.0639782320188743,0.0136177880281397,0.799151538934201,0.00259116742324463
1998,264,264,0.0345428655231017,0.0114387144202269,0.715043138103743,0.00320303876505734
1999,346,332,0.0812237189578621,0.0153215740975329,1.64183558935535,0.00370329862514053
2000,349,349,0.135175093798373,0.0196804772723806,1.68648525124245,0.00372105292253135
2001,351,350,0.186517357574278,0.0230518650680937,1.59796989666358,0.00360144826369268
2002,304,298,0.351079069133229,0.033983310006397,4.51474413688771,0.00698944976310063
2003,352,352,0.372365380698006,0.0325247013078489,3.35935601715188,0.00520697332057271
2004,352,352,0.496085218717625,0.0375410842640503,9.01182686597105,0.00852832527609465
2005,349,349,0.407074682524783,0.0341526441405378,6.31793950791664,0.00720215236308335
2006,346,32,0.496295014451817,0.0378731917652186,63.6378824036712,0.0230558830791489
2007,349,32,0.937913593757055,0.051840442713547,136.361147930597,0.0334595347094544
2008,348,32,1.17449588036769,0.0580946483075345,69.0070963267557,0.0238708362086529
2009,351,32,0.949956640422422,0.0520233522083367,119.624793135264,0.0311604329637651
2010,350,32,0.444519732872177,0.0356378503789832,55.9987115721418,0.0213806533895581
2011,350,30,1.24412116239855,0.059620733747307,131.685139524496,0.0327868987678342
2012,392,50,1.05554679388719,0.0518914387252612,36.1242216227114,0.0153325073655174
2013,392,36,0.712400156450996,0.0426303569992698,36.0169617839306,0.0153097278457631
2014,393,36,0.716346739419432,0.0426938548300924,79.2663580937005,0.0226543654505157
2015,395,36,0.520793321339073,0.0363106610330338,79.7197546867325,0.0226040303208078
2016,359,72,1.43219344740978,0.0631616718385627,101.09512663157,0.0280072624904675
