"year","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,349,349,0.109858151615453,0.0177420349468639,0.560704373092515,0.00214556435107763
1993,325,324,0.0483719978727445,0.0121998736276865,0.189303346298995,0.00133873859660863
1994,355,353,0.0616157115779422,0.0131744216088069,0.123247121568883,0.000988917448148829
1995,350,350,0.0793607146950471,0.0150580509737717,0.202191123390783,0.0012847333508483
1996,350,NA,0.0750677528939828,0.0146451116070451,NA,NA
1997,345,342,0.0639782320188743,0.0136177880281397,0.171930934246543,0.00120187116680128
1998,264,264,0.0345428655231017,0.0114387144202269,0.0439538760748307,0.000794135595505503
1999,346,332,0.0812237189578621,0.0153215740975329,0.445587496539179,0.00192925839663868
2000,349,349,0.135175093798373,0.0196804772723806,0.327846651722157,0.00164062735823968
2001,351,350,0.186517357574278,0.0230518650680937,0.565318046192203,0.00214209786420062
2002,304,298,0.351079069133229,0.033983310006397,0.71067427242256,0.00277307562316187
2003,352,352,0.372365380698006,0.0325247013078489,1.09333406726825,0.00297052886471214
2004,352,352,0.496085218717625,0.0375410842640503,0.738701796422994,0.00244169781242162
2005,349,349,0.407074682524783,0.0341526441405378,0.463906784446683,0.0019515960705678
2006,346,32,0.496295014434985,0.0378731917645763,71.9362830601018,0.0245130808859109
2007,349,32,0.937913593712748,0.0518404427123225,128.737404230661,0.0325107469009219
2008,348,32,1.1744958803906,0.0580946483081011,50.7311832468837,0.0204671914505305
2009,351,32,0.949956640524314,0.0520233522111267,124.045079372273,0.0317309192743516
2010,350,32,0.444519732914605,0.0356378503806839,37.0210384465876,0.0173842618119854
2011,350,30,1.24412116236667,0.0596207337465431,101.054348157927,0.0287216547982602
2012,392,50,1.05554679390203,0.0518914387256259,40.120396453033,0.0161583325107759
2013,392,36,0.712400156372143,0.0426303569969105,27.3920347032344,0.0133513776279434
2014,393,36,0.716346739419432,0.0426938548300924,69.0489845630181,0.0211439487633645
2015,395,36,0.520793321339073,0.0363106610330338,52.2091079353154,0.0182926253936684
2016,359,72,1.43219344740978,0.0631616718385627,90.1898230261583,0.0264535717624393
2017,359,70,2.10909130265635,0.076647936277065,373.846395831426,0.0538582391552399
