"YEAR","EVENT_ID","SITE_ID","STATION","POT_ID","SAMPLE_POT","all_Cnt_cc","all_Kg_cc","lrg_Cnt","lrg_Kg"
"1992","1992P04003","1","A","1","Sample","2","0.053",1.000000,0.034000
"1992","1992P04003","1","A","10","Sample","17","0.605",17.000000,0.605000
"1992","1992P04003","1","A","11","Sample","12","0.495",12.000000,0.495000
"1992","1992P04003","1","A","2","Sample","9","0.249",7.000000,0.214000
"1992","1992P04003","1","A","3","Sample","2","0.08",2.000000,0.080000
"1992","1992P04003","1","A","4","Sample","3","0.075",3.000000,0.075000
"1992","1992P04003","1","A","5","Sample","30","0.786",26.000000,0.717000
"1992","1992P04003","1","A","6","Sample","38","1.199",36.000000,1.160000
"1992","1992P04003","1","A","7","Sample","33","0.927",32.000000,0.913000
"1992","1992P04003","1","A","9","Sample","12","0.367",12.000000,0.367000
"1992","1992P04004","1","B","1","Sample","24","0.778",24.000000,0.778000
"1992","1992P04004","1","B","10","Sample","2","0.07",2.000000,0.070000
"1992","1992P04004","1","B","11","Sample","0","0",,
"1992","1992P04004","1","B","2","Sample","3","0.029",3.000000,0.029000
"1992","1992P04004","1","B","3","Sample","14","0.487",14.000000,0.487000
"1992","1992P04004","1","B","4","Sample","57","1.854",56.000000,1.835000
"1992","1992P04004","1","B","5","Sample","18","0.556",18.000000,0.556000
"1992","1992P04004","1","B","6","Sample","10","0.292",8.000000,0.258000
"1992","1992P04004","1","B","7","Sample","6","0.18",6.000000,0.180000
"1992","1992P04004","1","B","8","Sample","12","0.434",12.000000,0.434000
"1992","1992P04004","1","B","9","Sample","15","0.55",15.000000,0.550000
"1992","1992P04001","1","C","1","Sample","0","0",,
"1992","1992P04001","1","C","10","Sample","10","0.2",10.000000,0.200000
"1992","1992P04001","1","C","11","Sample","1","0.031",1.000000,0.031000
"1992","1992P04001","1","C","2","Sample","4","0.072",4.000000,0.072000
"1992","1992P04001","1","C","3","Sample","0","0",,
"1992","1992P04001","1","C","4","Sample","6","0.094",6.000000,0.094000
"1992","1992P04001","1","C","5","Sample","4","0.04",,
"1992","1992P04001","1","C","6","Sample","20","0.376",20.000000,0.376000
"1992","1992P04001","1","C","7","Sample","10","0.105",6.000000,0.092000
"1992","1992P04001","1","C","8","Sample","4","0.048",2.000000,0.030000
"1992","1992P04001","1","C","9","Sample","4","0.063",4.000000,0.063000
"1992","1992P04002","1","D","1","Sample","26","0.496",22.000000,0.471000
"1992","1992P04002","1","D","10","Sample","42","0.697",38.000000,0.669000
"1992","1992P04002","1","D","11","Sample","22","0.32",16.000000,0.276000
"1992","1992P04002","1","D","2","Sample","32","0.452",28.000000,0.414000
"1992","1992P04002","1","D","3","Sample","46","0.697",40.000000,0.645000
"1992","1992P04002","1","D","4","Sample","26","0.363",24.000000,0.354000
"1992","1992P04002","1","D","5","Sample","20","0.317",20.000000,0.317000
"1992","1992P04002","1","D","6","Sample","34","0.568",30.000000,0.529000
"1992","1992P04002","1","D","7","Sample","74","1.191",72.000000,1.172000
"1992","1992P04002","1","D","8","Sample","18","0.304",14.000000,0.278000
"1992","1992P04002","1","D","9","Sample","20","0.281",18.000000,0.263000
"1992","1992P04005","2","A","1","Sample","6","0.195",4.000000,0.168000
"1992","1992P04005","2","A","10","Sample","14","0.373",8.000000,0.279000
"1992","1992P04005","2","A","11","Sample","24","0.77",22.000000,0.731000
"1992","1992P04005","2","A","2","Sample","3","0.143",3.000000,0.143000
"1992","1992P04005","2","A","3","Sample","5","0.079",2.000000,0.045000
"1992","1992P04005","2","A","4","Sample","0","0",,
"1992","1992P04005","2","A","5","Sample","3","0.038",,
"1992","1992P04005","2","A","6","Sample","7","0.204",5.000000,0.173000
"1992","1992P04005","2","A","7","Sample","10","0.332",7.000000,0.282000
